가수명,곡명,음원순위,초동음반,뮤비조회,스포티파이 월간청취자 수 (만명),소속 그룹,활동상태
정국, Standing Next You,15위,2438000장,4018만회 (3주차),1651.0,BTS,
지드래곤 ,TOO BAD,1위,837900장,3620만 (3주차),355.0,빅뱅,
슈가 ,해금,79,1277200장,4241만,338.0,BTS,
뷔 ,Slow Dancing,47위,2101900장,2420만회 (3주차),427.0,BTS,
지민 ,Who / Marching Band (음원),76위,814400장,3248만회 (3주차),620.0,BTS,
,,,,,,,
백현 ,Elevator,213위,1066900장,3240만 (3주차),232.0,EXO,
진 ,Don't Say You Love Me,99위,764200장,1465만 (3주차),470.0,BTS,
연준 ,Ice Cream,109위,738000장,2200만 (3주차),384.0,TXT,
제이홉 ,NEURON,143위,467014장,717만 (3주차),1357.0,BTS,
지코 ,SPOT!,1위 ,8300장,4063만회 (3주차),443.0,블락비,
RM ,LOST!,213위,560000장,836만 (3주차),288.0,BTS,
MINO ,탕,40,63500장,1538만 (3주차),59.0,위너,
태양 ,LIVE FAST DIE SLOW,64위,56900장,1023만 (3주차),379.0,빅뱅,
마크 ,1999,104위,544200장,341만 (3주차),53.0,NCT,
재현 ,Smoke,140위,331300장,348만 (3주차),177.0,NCT,
도경수 ,SING ALONG / POPCORN (음원),12위,67000장,111만 (3주차),132.0,EXO,
,,,,,,,
태민 ,Sexy in the air,294위,114200장,1754만 (3주차),127.0,샤이니,
해찬 ,CRZY,102위,435200장 (커리어하이),424만 (3주차),35.0,NCT,
카이 ,Wait on me,398위,224300장,801만 (3주차),127.0,EXO,
태용 ,WYLD,298위,348100장,517만 (3주차),115.0,NCT,
원필 ,사랑병동,91위,146200장 (커리어하이),825만 (3주차),43.0,데이식스,
T.O.P ,DESPERADO / 완전 미쳤어 (뮤비),143위,57400장,733만 (3주차),159.0,빅뱅,
도영 ,"안녕, 우주",95위,401000장 (커리어하이),70만 (3주차),50.0,NCT,
시우민 ,WHEE!,1000위 밖,113300장,1181만 (3주차),58.0,EXO,
