가수명,곡명,음원순위,초동음반,뮤비조회,스포티파이 월간청취자 수 (만명),소속 그룹,활동상태
아이유 Never Ending Story, Never Ending Story,1위,79900장,510만 (3주차),443.0,,
여진 ,Sugar talk,1000위 밖,XXX,120만 (3주차),5.0,이달의소녀,
로제,APT,1위,444600장,2.3억 (3주차),2850.0,블랙핑크,
제니, Like JENNIE,1위,661000장,4171만 (3주차),4268.0,블랙핑크,
지수, earthquake,73위,520300장,3938만 (3주차),796.0,블랙핑크,
최예나 ,캐치캐치,5위,49700장,614만 (3주차),574.0,아이즈원,
아이유 , Never Ending Story,1위,79900장,510만 (3주차),443.0,,
나연 ,ABCD,94위,376800장,3025만 (3주차),354.0,트와이스,
지효,Killing me good,131위,534000장,1203만회 (3주차),85.0,레드벨벳,
우기 ,FREAK,156위,569000장,2130만회 (3주차),135.0,아이들,
태연 ,Letter to Myself,24위,75800장,251만 (3주차),287.0,소녀시대,
민니 ,HER,167위,193200장,3061만 (3주차),169.0,아이들,
화사 ,So Cute,112위,11220장,2804만 (3주차),416.0,마마무,
리사 ,FUTW,373위,167500장,2418만 (3주차),1524.0,블랙핑크,
미연 ,Say My Name,241위,201400장,2061만 (3주차),35.0,아이들,
쯔위 ,RunAway,327위,331600장,1011만 (3주차),100.0,트와이스,
전소미 ,CLOSER,120위,27000장,1687만 (3주차),183.0,아이오아이,
아이린 ,Biggest Fan,250위,238200장,180만 (3주차),75.0,레드벨벳,
예지 ,Air,271위,220000장,1236만 (3주차),44.0,ITZY,
유나 ,Ice Cream,199위,92200장,1339만 (3주차),100.0,ITZY,
슬기,"Baby, Not Baby",214위,127400장,316만 (3주차),71.0,레드벨벳,
웬디 ,Sunkiss / Daydream (음원),93위,50400장,707만 (3주차),168.0,레드벨벳,
전소연 ,삠삠,119,35700장,1820만 (3주차),40.0,아이들,
비비,BUMPA / 종말의 사과나무 (음반),110위,4600장,306만 (3주차),471.0,,
조유리 ,TAXI,155,36300장,1357만 (3주차),51.0,아이즈원,
휘인, In the Mood,237위,55700장,855만회 (3주차),28.0,마마무,
CL ,SPICY,133,5100장,1979만 (3주차),65.0,2NE1,
정은지 ,너에게로 떠나는 여행,145,22000장,870만 (3주차),45.0,에이핑크,
선미 ,CYNICAL,175위,5100장,642만 (3주차),128.0,원더걸스,
청하 ,STRESS,145위,3900장,626만 (3주차),148.0,아이오아이,
조이 ,Love Splash!,117위,53800장,103만 (3주차),49.0,레드벨벳,
수지 ,Cape /faces of love (음반),91,4800장,172만 (3주차),78.0,미쓰에이,
채영 ,SHOOT,684위,135300장 (커리어하이),289만 (3주차),56.0,트와이스,
다영 ,What's a girl to do,289위,XXX,187만 (3주차),113.0,우주소녀,
문별 ,Hertz,1000위 밖,25000장,729만 (3주차),18.0,마마무,
유리 ,빠져가,151,11700장,886만 (3주차),2.0,소녀시대,
최유정 ,Sunflower,193,11700장,428만 (3주차),1.0,"아이오아이, 위키미키",
